username,userdesc,userurl,userpic,userlocation,userfollowing,userfollowers,usertotaltweets,usercreatedts,tweetid,tweetcreatedts,tweetretweetcount,tweetfavcount,tweeturls,tweethashtags,tweetmentions,tweettext,tweettextcleaned,sentic_polarity,sentic_concept
JTC_GOLD,"Kouma main / Sol Main 
Stocks Talk. Not Financial Advice.",,https://pbs.twimg.com/profile_images/1107357299474137089/L8N2PtYy_normal.png,,258,102,9119,2019-03-17 18:48:38,1499526778079096836,2022-03-03 23:26:58,11,0,['https://t.co/zB35PCpqOJ'],,,U.S. yield curve flattens as #Fed tightening leads to concerns about slower growth while #Germany's yield curve steepens as #ECB seen keeping policy easy. https://t.co/zB35PCpqOJ,U.S. yield curve flattens as Fed tightening leads to concerns about slower growth while Germany's yield curve steepens as ECB seen keeping policy easy.,NEGATIVE,"['yield', 'curvey', 'flatten', 'tighten', 'leads', 'concern', NOT 'growth', 'policy', 'easy']"
BitcoinBro6,"#Bitcoin Toxic Pleb. ∞/21M.

Pronouns: Go/Fuck/Yourself",,https://pbs.twimg.com/profile_images/1489700623033548806/Z7c26tE3_normal.jpg,,168,371,8697,2021-01-20 04:52:52,1499517560420810754,2022-03-03 22:50:20,0,2,,,['@RawEgNationalsm'],"@RawEgNationalsm Yield curve inverting signals an expected recession, which causes the stock market to think there's a recession and dip, which then causes the Fed to cut rates and go BRRRRRR, then the new cycle begins.

The only question is timing and how long it takes to play out","Yield curve inverting signals an expected recession, which causes the stock market to think there's a recession and dip, which then causes the Fed to cut rates and go BRRRRRR, then the new cycle begins. The only question is timing and how long it takes to play out",POSITIVE,"['cut rate', 'yield', 'curvey', 'invert', 'expected', 'recession', 'dip', 'new', 'cycle', 'beg', 'play']"
jkritzlara_na,"Chief Economist & Head of Macro Research @NumeraAnalytics. International macro, probability forecasting, investment strategy. 🇨🇦🇦🇷",https://t.co/hNntfm1XSS,https://pbs.twimg.com/profile_images/919978746886672384/rGakUSQq_normal.jpg,"Montréal, Québec",122,51,356,2017-10-04 17:08:51,1499507693408641027,2022-03-03 22:11:08,0,0,,,['@francesdonald'],"@francesdonald The narrower 10Y-2Y spread, in my view, reflects concerns over a policy mistake. The 2Y yield, in particular, is a very effective predictor of the Fed funds rate (we include it directly in our probability forecast models for Fed policy).","The narrower 10Y-2Y spread, in my view, reflects concerns over a policy mistake. The 2Y yield, in particular, is a very effective predictor of the Fed funds rate (we include it directly in our probability forecast models for Fed policy).",POSITIVE,"['view', 'narrower', 'spread', 'reflects', 'concern', NOT 'policy', 'mistake', 'yield', 'particular', 'effective', 'predictor', 'funds', 'rate', 'include', 'directly', 'probability', 'forecast', 'models']"
alexschibuola,Inflation arises when spending rises faster than production. Former chief macroeconomist of the Joint Economic Committee. Tweets reflect only my own views.,,https://pbs.twimg.com/profile_images/1484213951487426568/iE5hrDRO_normal.jpg,Washington DC,222,253,1050,2010-12-22 17:07:21,1499505710526308355,2022-03-03 22:03:15,0,1,['https://t.co/l8GiX6BVYl'],,,The Treasury-Fed Accord turns 71 years old tomorrow (3/4). This agreement (gradually) released the Fed from under the Treasury’s thumb and brought an end to the WWII era yield curve targeting. https://t.co/l8GiX6BVYl,The Treasury-Fed Accord turns 71 years old tomorrow (3/4). This agreement (gradually) released the Fed from under the Treasurys thumb and brought an end to the WWII era yield curve targeting.,POSITIVE,"[NOT 'treasury', 'accord', 'old', 'agreement', 'gradually', 'released', 'brought', 'end', 'wii', 'yield', 'curvey']"
BrandywineGIM,"We believe in the power of value investing, looking beyond short-term, conventional thinking to pursue long-term value. For important disclosures, visit:",http://t.co/noFJePdl4D,https://pbs.twimg.com/profile_images/544941460617850880/ZpXWOEmI_normal.png,,66,1859,5690,2009-10-21 20:36:10,1499505275493093377,2022-03-03 22:01:31,0,0,"['https://t.co/FbcVBzb8cd', 'https://t.co/KT3tPTCSur']",,,What is current volatility signaling: uncertainty over the Fed’s policy mix and inflation or a growing probability of recession? Bill Zox and John McClain share their perspectives on volatility and outlook for US high yield and corporate credit: https://t.co/FbcVBzb8cd https://t.co/KT3tPTCSur,What is current volatility signaling uncertainty over the Feds policy mix and inflation or a growing probability of recession? Bill Zox and John McClain share their perspectives on volatility and outlook for US high yield and corporate credit,POSITIVE,"['volatility', 'uncertainty', 'policy', 'mix', 'inflation', 'growing', 'probability', 'recession', 'share', 'perspective', 'outlook', 'yield', 'corporate', 'credit']"
RealMikeLarson,"Senior Analyst at Weiss Ratings -- Specializing in interest rates, real estate, monetary policy, mortgage/banking industries, and income investing strategies",https://t.co/YHXtOV0v9N,https://pbs.twimg.com/profile_images/956644108994596868/-QA09g1q_normal.jpg,"Palm Beach Gardens, FL",1174,6336,20419,2009-07-10 21:57:49,1499498337430646788,2022-03-03 21:33:57,0,0,,,['@TheStalwart'],"@TheStalwart If the latest Goldman forecast for 250 Fed rate hikes verifies, that will be our 2-year yield before long too","If the latest Goldman forecast for 250 Fed rate hikes verifies, that will be our 2-year yield before long too",POSITIVE,"['latest', 'forecast', 'rate', 'hike', 'verify', 'yield']"
asset_mgmt,"The leading news and data source for money managers, investment consultants and institutional investors",http://t.co/1dzjXup42a,https://pbs.twimg.com/profile_images/2535049540/8hdyebpfiqz7osr5ve0i_normal.png,New York City,329,11384,25278,2009-07-29 19:53:16,1499486350000668675,2022-03-03 20:46:19,2,0,['https://t.co/Usa3pq2Y1p'],,,"As fixed-income investors continued to watch inflation and the Fed, high yield once again dominated Morningstar Inc.'s top 10 list.

#PI_SpecialReport #MoneyManagement 

https://t.co/Usa3pq2Y1p","As fixed-income investors continued to watch inflation and the Fed, high yield once again dominated Morningstar Inc.'s top 10 list. PI_SpecialReport MoneyManagement",POSITIVE,"['to watch', 'fixed income', 'continue', 'inflation', 'yield', 'top']"
CharlesSchwab,Be a more informed investor. Follow us for news and insights to help you #Ownyourtomorrow. Disclosures: https://t.co/nswxFWPqQc,http://t.co/oik8fZoJ2W,https://pbs.twimg.com/profile_images/887040270344175616/HdM7XoMD_normal.jpg,,738,118847,25984,2010-04-13 23:47:47,1499484267839168514,2022-03-03 20:38:03,5,0,['https://t.co/znftEFaTEc'],,"['@CharlesSchwab', '@KathyJones']","""The Fed seems determined to raise short-term interest rates in order to fight inflation,"" @CharlesSchwab Chief Fixed Income Strategist @KathyJones says. But, ""that flattening yield curve is telling us the market is more concerned about slowing growth than... current inflation."" https://t.co/znftEFaTEc","""The Fed seems determined to raise short-term interest rates in order to fight inflation,"" Chief Fixed Income Strategist says. But, ""that flattening yield curve is telling us the market is more concerned about slowing growth than... current inflation.""",NEGATIVE,"['fixed income', 'interest rate', 'determined', 'raise', 'short', 'fight', 'inflation', 'chief', 'flatten', 'yield', 'curvey', 'concern', 'growth']"
economicthinker,"Outside-the-Box-Thinker | Past Visiting Scholar | Business Consultant | Passionate about Technology, Global Markets & Business Networking | B2B & B2C Strategies",,https://pbs.twimg.com/profile_images/834172387021185024/3fGFPoTx_normal.jpg,,89,164,2262,2017-02-21 22:33:58,1499480033013948421,2022-03-03 20:21:13,0,2,['https://t.co/IctBotoMGq'],,,Terrible charts formations from US Banks #JPM #BAC &amp; State Street Corp  . Will be tomorrow a black Friday again? #Crash #Inflation #Recession #Inverted Yield Curve #FED #ECB #GOLD https://t.co/IctBotoMGq,Terrible charts formations from US Banks JPM BAC &amp; State Street Corp . Will be tomorrow a black Friday again? Crash Inflation Recession Inverted Yield Curve FED ECB GOLD,NEGATIVE,"['terrible', 'charts', 'formation']"
patrick_saner,"Head Macro Strategy @SwissRe. Former World Bank, SNB and UBS. Views are my own.",,https://pbs.twimg.com/profile_images/1440651786876981252/b-4NG8rI_normal.jpg,"Zurich, Switzerland",301,772,557,2021-01-31 18:02:55,1499473465019183104,2022-03-03 19:55:07,0,3,['https://t.co/deVx3RxMhN'],,,The US yield curve continues to flatten and is much flatter than at the same time in previous hiking cycles. Would be hard for the Fed to continue to hike through an inversion... https://t.co/deVx3RxMhN,The US yield curve continues to flatten and is much flatter than at the same time in previous hiking cycles. Would be hard for the Fed to continue to hike through an inversion...,NEGATIVE,"['yield', 'curvey', 'continue', 'flatten', 'flatter', 'time', 'hiking', 'cycle', 'hard', 'hike', 'inversion']"
USRoute41,"Commodities - Inflation Truther. #RESISTER 
#WakeUpAmerica It all boils down to the money and credit.
The Sorting Process has shifted into Overdrive.",,https://pbs.twimg.com/profile_images/974028064827961344/4V4zPUQE_normal.jpg,,3194,3318,255173,2012-05-03 19:55:32,1499465031901196302,2022-03-03 19:21:36,0,0,,,"['@AlanLevinson10', '@RudyHavenstein']",@AlanLevinson10 @RudyHavenstein Before the Fed the yield curve was normally inverted reflecting true risk of credit and it was on the banks (lenders).,Before the Fed the yield curve was normally inverted reflecting true risk of credit and it was on the banks (lenders).,POSITIVE,"['yield', 'curvey', 'normal', 'reflect', 'risk', 'credit', 'lender']"
hms1759,Retired Silicon Valley tech bro ✍️ a 📖 for the younger generation on navigating the traps & opportunities of this world. Bitcoin & crypto. Not financial advice,,https://pbs.twimg.com/profile_images/1448869295279144960/SfIFoxoV_normal.jpg,"ᴍᴏɴᴛᴇʀᴇʏ, ᴄᴀʟɪꜰᴏʀɴɪᴀ",107,63,1978,2021-10-15 04:31:47,1499457468702740495,2022-03-03 18:51:33,0,0,['https://t.co/o17l7iNgcZ'],,,"Past economic cycles were a lot shorter between boom and bust because of inflation, Fed tightening and the yield curve. That means that the next #recession is coming around 2024. Unless of course, there’s a war to distract the population. https://t.co/o17l7iNgcZ","Past economic cycles were a lot shorter between boom and bust because of inflation, Fed tightening and the yield curve. That means that the next recession is coming around 2024. Unless of course, theres a war to distract the population.",NEGATIVE,"['economic', 'cycle', 'shorter', 'boom', 'inflation', 'tighten', 'yield', 'curvey', 'recession', 'war', 'distract', 'population']"
JohnLStearns,"Sr. Mortgage Loan Originator with American Fidelity Mortgage, Residential & Commercial lending. NMLS #184766, #179785, MB 0000303, IL 031.0000440, WI 15449",https://t.co/t7cktDC6H7,https://pbs.twimg.com/profile_images/1474768367/johnstearns3_normal.jpg,"Milwaukee, WI",171,153,15044,2011-07-22 13:15:43,1499449896415465480,2022-03-03 18:21:28,0,0,,,,"At midday, the 2/10-yr yield spread narrows to just 34bp. The bond market is saying the Fed will overcook rate hikes. Mortgage Bonds flat. Dow and S&amp;P slightly higher, NASDAQ negative. WTI $110/bbl from $116.57 this morning.","At midday, the 2/10-yr yield spread narrows to just 34bp. The bond market is saying the Fed will overcook rate hikes. Mortgage Bonds flat. Dow and S&amp slightly higher, NASDAQ negative. WTI $110/bbl from $116.57 this morning.",NEGATIVE,"['midday', 'yield', 'spread', 'narrow', 'saying', 'rate', 'hike', 'mortgage', 'flat']"
GreekFire23,"To spot a bubble in advance requires a judgement that hundreds of thousands of informed investors have it all wrong - Greenspan, 1999",,https://pbs.twimg.com/profile_images/2294529288/p5uz17u16qw2051b1ptw_normal.gif,,119,42114,60513,2012-04-14 20:45:18,1499445857447559172,2022-03-03 18:05:25,0,2,,,['@SKentBrown'],"@SKentBrown Until the Fed hints at pausing or reversing rate hikes the bias for the 10yr yield is higher, but with the curve flattening because growth is slowing. Longer run it will remain cyclical with the economic cycle, but I don’t think there’s been a secular change of rising rates","Until the Fed hints at pausing or reversing rate hikes the bias for the 10yr yield is higher, but with the curve flattening because growth is slowing. Longer run it will remain cyclical with the economic cycle, but I dont think theres been a secular change of rising rates",POSITIVE,"[NOT 'tile', 'hint', 'pausing', 'rate', 'hike', 'bias', 'yield', 'curvey', 'flatten', 'growth', 'longer', 'run', 'remain', 'cyclical', 'economic', 'cycle', 'secular', 'change', 'rising']"
arezookaktoos2x,♥️💋♥️,,https://pbs.twimg.com/profile_images/1365982580500287489/7-DJKsho_normal.jpg,ایران,456,106,9404,2021-02-28 11:07:40,1499427398030610433,2022-03-03 16:52:04,7,0,['https://t.co/3UTpHZsqgu'],,,"This an incredible in five months.  In September, the 2-year Treasury yield was near 0.2%.  Now 140 bp higher.  I think the Fed has some catching up to do. https://t.co/3UTpHZsqgu","This an incredible in five months. In September, the 2-year Treasury yield was near 0.2%. Now 140 bp higher. I think the Fed has some catching up to do.",POSITIVE,"['incredible', 'treasury', 'yield', 'catching']"
xglobalmarkets,"XGLOBAL Markets is a Multi-Regulated broker, offering Forex & CFD trading on +100 trading symbols in 5 account currencies. 53.33% of retail clients lose money.",https://t.co/jMFjcOsbHR,https://pbs.twimg.com/profile_images/462225619191746561/ewCAL35B_normal.png,Limassol,2634,4354,33376,2012-08-02 21:52:03,1499426025532497928,2022-03-03 16:46:37,0,0,,,,"Fed's Powell: 
- The #treasury's decision on #debt issuance has an impact on the yield curve
- We want to put balance-sheet shrinking on the back burner.
#XGlobalMarkets #Fed #Powell",Fed's Powell - The treasury's decision on debt issuance has an impact on the yield curve - We want to put balance-sheet shrinking on the back burner. XGlobalMarkets Fed Powell,NEGATIVE,"['impact on', 'debt issuance', 'balance sheet', 'treasury', 'decision', 'yield', 'curvey', 'burner']"
EDiamondhands,Don’t take financial advice from Edward Diamondhands,,https://pbs.twimg.com/profile_images/1345740394160644096/TCKNhL7e_normal.jpg,,120,12,130,2021-01-03 12:10:50,1499422562702479367,2022-03-03 16:32:51,0,2,,,"['@kirkmurphy', '@edwardnh']","@kirkmurphy @edwardnh When a 2year bond offers a higher yield than a 5year bond, it indicates the market thinks rates may be elevated in near term (1-2 yrs) due to Fed, but 3-5 years out they are worried about slow economy and rate cuts. So they are willing to accept lower rate to lock it in for 5 yrs","When a 2year bond offers a higher yield than a 5year bond, it indicates the market thinks rates may be elevated in near term (1-2 yrs) due to Fed, but 3-5 years out they are worried about slow economy and rate cuts. So they are willing to accept lower rate to lock it in for 5 yrs",POSITIVE,"['near term', 'offers', 'yield', 'thinke', 'rate', 'worried', NOT 'economy', 'willing', 'accept', 'lower', 'lock']"
KACrypto181218,#btc #eth #xrp #ada #chz #theta #bnb #enj #mana #avax #LUNA #sand #lowb #doge #sol #matic #atom #algo #VRA #ASD #FLOKI #CRO #HT #GT #AAVE,,https://pbs.twimg.com/profile_images/1489627858695688199/CVShy6y6_normal.jpg,,2037,169,13570,2021-04-12 08:53:03,1499421359989932033,2022-03-03 16:28:04,9,0,,,,FED'S POWELL: THE TREASURY'S DECISION ON DEBT ISSUANCE HAS AN IMPACT ON THE YIELD CURVE,FED'S POWELL THE TREASURY'S DECISION ON DEBT ISSUANCE HAS AN IMPACT ON THE YIELD CURVE,NEGATIVE,"['impact on', 'debt issuance', 'treasury', 'decision', 'yield', 'curvey']"
_ReddDotMedia,Eurodited Moor 👨🏽‍🎓 DelTech 19’ #WeBull #ETHEREUM #PI 🪙💎🥧 HIP-HOP ARTIST 👨🏾‍🎨🎨 🎶 Forex Educator 📊📈,https://t.co/d0tkp0qcUo,https://pbs.twimg.com/profile_images/1390417617521979399/zgHTVbjh_normal.jpg,Moorish Temple,8460,9457,45751,2019-10-10 13:42:42,1499418004366499852,2022-03-03 16:14:44,2,0,['https://t.co/vT8BCZPthP'],,,"U.S. equity index futures pared gains slightly after the release of Fed Chair Jerome Powell's prepared remarks, while the yield on 2-year Treasuries rose. 
https://t.co/vT8BCZPthP #InterestRates #FederalReserve","U.S. equity index futures pared gains slightly after the release of Fed Chair Jerome Powell's prepared remarks, while the yield on 2-year Treasuries rose. InterestRates FederalReserve",POSITIVE,"['equity', 'index', 'gains', 'release', 'prepared', 'remarks', 'yield', 'treasure', 'rose']"
vinniepalma,"Retired Trader still involved. Sports lover ,musical artist, dogs 4eva. Light sarc. Remarks opinions only, never advice. $ES $NQ $RTY #BONDS #FX #GOLD #Bitcoin",,https://pbs.twimg.com/profile_images/1274352699345997826/aaqT9djx_normal.jpg,"San Diego, CA. USA",381,181,7096,2016-12-18 17:18:47,1499416408064548865,2022-03-03 16:08:24,0,0,['https://t.co/C9vgKqHRAc'],,,"JayP, forgot to mention no rate hikes if Treasury yield curve inverts by the meeting date.

$USD #FED #interestrates https://t.co/C9vgKqHRAc","JayP, forgot to mention no rate hikes if Treasury yield curve inverts by the meeting date. $USD FED interestrates",POSITIVE,"['forgot', 'mention', NOT 'rate', 'hike', 'treasury', 'yield', 'curvey', 'invert']"
ShoeShinerBoy,"I'll shine your shoes Mr. and maybe you can provide financial tips. Options, precious metals, cryptos and some sarcasm. 🔮 $ES $NQ $RTY $IYT $TLT",,https://pbs.twimg.com/profile_images/1472731945926811648/cEraEe5R_normal.jpg,"Bermuda, Triangle",599,602,497,2021-01-15 04:01:32,1499411773753020422,2022-03-03 15:49:59,0,1,,,['@ChasingFiat'],@ChasingFiat unrealized policy errors about to be realized policy errors soon. #inflation #Fed #yield,unrealized policy errors about to be realized policy errors soon. inflation Fed yield,NEGATIVE,"[NOT 'realize', 'policy', 'error', 'inflation', 'yield']"
BladeHawk8,,,https://pbs.twimg.com/profile_images/1142521697540673537/r12RxH4e_normal.png,,3104,517,6931,2019-06-22 19:40:48,1499408867490414592,2022-03-03 15:38:26,0,1,,,['@humblestockguy'],"@humblestockguy As you know it’s hard to predict you have to watch it, reality only matters so much the market is looking at the fed rate the 10 year yield &amp; the supply chain opening up. Ideally a cease-fire","As you know its hard to predict you have to watch it, reality only matters so much the market is looking at the fed rate the 10 year yield &amp; the supply chain opening up. Ideally a cease-fire",POSITIVE,"['to watch', NOT 'predict', 'reality', 'rate', 'yield']"
economicthinker,"Outside-the-Box-Thinker | Past Visiting Scholar | Business Consultant | Passionate about Technology, Global Markets & Business Networking | B2B & B2C Strategies",,https://pbs.twimg.com/profile_images/834172387021185024/3fGFPoTx_normal.jpg,,89,164,2262,2017-02-21 22:33:58,1499408527697321986,2022-03-03 15:37:05,0,0,['https://t.co/sZsr2NpfyU'],,,"#FEd, the #ECB and other CBs will raise #interest rates to achieve a quick #recession. As a result, central banks will kill #inflation.
Inverted yield curve ...as a trigger for this... can we bet? The #RussiaUkraine is conflict is only an additional factor  #Recession #Inflation https://t.co/sZsr2NpfyU","FEd, the ECB and other CBs will raise interest rates to achieve a quick recession. As a result, central banks will kill inflation. Inverted yield curve ...as a trigger for this... can we bet? The RussiaUkraine is conflict is only an additional factor Recession Inflation",NEGATIVE,"['interest rate', 'raise', 'achieve', 'quick', 'recession', 'result', 'kill', 'inflation', 'yield', 'curvey', 'conflict', 'additional', 'factor']"
DavidoHarryj,♥️♥️💕,,https://pbs.twimg.com/profile_images/1494086760703348736/Gnjn4qWU_normal.jpg,"Michigan, USA",26,4,218,2022-02-16 23:03:08,1499682944805486599,2022-03-04 09:47:31,140,0,,,,"According to the #Fed it's prepared to slowly raise interest rates in quarter point increments until reaching a neutral rate of 2%. 1st, 2% isn't neutral, it's very accommodative. 2nd, You can't fight high #inflation with a neutral monetary policy, let alone an accommodative one!","According to the Fed it's prepared to slowly raise interest rates in quarter point increments until reaching a neutral rate of 2%. 1st, 2% isn't neutral, it's very accommodative. 2nd, You can't fight high inflation with a neutral monetary policy, let alone an accommodative one!",NEGATIVE,"['monetary policy', 'interest rate', 'accord', 'prepared', 'slowly', 'raise', 'quart', 'increment', NOT 'tile', 'reaching', NOT 'neutral', 'accommodative', 'fight', 'inflation', 'alone']"
lenawhyte,"Global traveler. Trained Metallurgist. AMIM. Loves foods,perfumes, languages,distinct cultures. VA with reasonable rates for administrative & technical services",,https://pbs.twimg.com/profile_images/1867020788/Photo_normal.jpg,"Jamaica, USA",76,105,8140,2009-09-09 20:29:13,1499682585483620355,2022-03-04 09:46:05,0,0,['https://t.co/zZnFP8umVd'],,['@ABC'],Fed's Powell: Russia's war on Ukraine will worsen inflation - ABC News via @ABC - https://t.co/zZnFP8umVd,Fed's Powell Russia's war on Ukraine will worsen inflation - ABC News via -,NEGATIVE,"['war', 'worsen', 'inflation']"
__1398mp,ไม่ว่าจะตอนไหนๆ จากนี้ไปก็แค่อยากเป็นตัวเองเท่านั้น,,https://pbs.twimg.com/profile_images/1484196870327271424/Q4kAbclt_normal.jpg,,802,329,377649,2013-02-25 11:32:55,1499679399851225089,2022-03-04 09:33:26,3,0,['https://t.co/2yiSact8dI'],,,"The market’s consensus on the US Federal Reserve’s interest rate hike is changing, but the Bank of Thailand is still expected to hold its rates until the second half of 2023, according to Standard Chartered Bank.

#Thailand #Economy #เศรษฐกิจ https://t.co/2yiSact8dI","The markets consensus on the US Federal Reserves interest rate hike is changing, but the Bank of Thailand is still expected to hold its rates until the second half of 2023, according to Standard Chartered Bank. Thailand Economy ",NEGATIVE,"['interest rate', 'consensus', 'federal', 'reserve', 'hike', 'changing', 'expected', 'hold', 'rate', NOT 'tile', 'accord', 'standard', 'charter', 'economy']"
Aj50005584,take it easy person,,https://pbs.twimg.com/profile_images/1393122653838397442/O0J4zBdt_normal.jpg,,74,2,43,2021-05-14 08:33:37,1499674308498665478,2022-03-04 09:13:12,10,0,,,['@CBSL'],"@CBSL recent rate hike by 1% to 6.5-7.5% is too short given inflation running at 17% nationally;it still induces com banks to borrow from CB &amp; invest in Tbills at 9.3-9.95%;why should CB create arbitraging &amp; then complain about it?like in Russia,there’s need for doubling rates!","recent rate hike by 1% to 6.5-7.5% is too short given inflation running at 17% nationally;it still induces com banks to borrow from CB &amp; invest in Tbills at 9.3-9.95%;why should CB create arbitraging &amp; then complain about it?like in Russia,theres need for doubling rates!",NEGATIVE,"['recent', 'rate', 'hike', 'short', 'inflation', 'running']"
bryanjkcoates,Analysis & OverView - looking at equities in a slightly different way,,https://pbs.twimg.com/profile_images/1356945708658528256/4e9OpliY_normal.jpg,,34,52,905,2019-10-19 05:35:54,1499634370449387524,2022-03-04 06:34:30,0,0,['https://t.co/3WhrhKycdG'],,,"Long end of the yield curve flattened a little
5yr 📈 but 10 yr 📉
[if sustained, may point to economic slowdown]
🔜significant dilemma for US central Bank in 10 days: #QT likely to be politically necessary, but minimally effective to combat supply-side #inflation
#FOMC https://t.co/3WhrhKycdG","Long end of the yield curve flattened a little 5yr but 10 yr [if sustained, may point to economic slowdown] significant dilemma for US central Bank in 10 days QT likely to be politically necessary, but minimally effective to combat supply-side inflation FOMC",NEGATIVE,"['economic slowdown', 'end', 'yield', 'curvey', 'flattened', 'little', 'sustained', 'significant', 'dilemma', 'politically', 'effective', 'combat', 'supply', 'inflation']"
CitizensJourn,"Citizens Journal, a  Ventura County online news publication  dedicated to reporting news and commentary vital to the community,",https://t.co/9gJ0VhuqgN,https://pbs.twimg.com/profile_images/1463451640904617989/6P5venqD_normal.jpg,"Ventura County, CA",706,558,11949,2019-01-05 23:59:51,1499553057713053698,2022-03-04 01:11:23,0,0,['https://t.co/bPDzsjbIZX'],,,"Inflation Rips Ahead Of March FOMC Meeting
by William J. Luther

The latest release from the Bureau of Economic Analysis shows that inflation surged in January. The Personal Consumption Expenditures Price Index (PCEPI),

https://t.co/bPDzsjbIZX","Inflation Rips Ahead Of March FOMC Meeting by William J. Luther The latest release from theBureau of Economic Analysisshows that inflation surged in January. The Personal Consumption Expenditures Price Index (PCEPI),",NEGATIVE,"['price', 'consumption expenditure', 'inflation', 'latest', 'release', 'economic', 'surge', 'index']"
Schima13,"Father of 3, Surfer at heart and on the constant search for freedom and to better myself",,https://pbs.twimg.com/profile_images/1197104661066588168/Jgg-Zoji_normal.jpg,Portugal,44,24,907,2019-01-19 14:05:00,1499470697705484288,2022-03-03 19:44:07,0,1,,,"['@SprottMoney', '@GlobalProTrader']",@SprottMoney @GlobalProTrader Good article. I too believe that the FED will do nothing at the next FOMC meeting. Even if they raise 25 bp  what is that with 8% inflation? Its a joke and it baffles me how the market still eats the narrative and believes in these idiots...,Good article. I too believe that the FED will do nothing at the next FOMC meeting. Even if they raise 25 bp what is that with 8% inflation? Its a joke and it baffles me how the market still eats the narrative and believes in these idiots...,NEGATIVE,"['good', NOT 'believe', 'nothing', 'raise', 'inflation', 'joke', 'baffle', 'eate', 'idiots']"
qbdsvv,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,21,1,616,2016-05-31 00:50:07,1499469924187705347,2022-03-03 19:41:03,7,0,,,,"#FOMC 'The Committee seeks to achieve maximum employment and inflation at the rate of 2% over the longer run. In support of these goals, the Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent.'","FOMC 'The Committee seeks to achieve maximum employment and inflation at the rate of 2% over the longer run. In support of these goals, the Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent.'",POSITIVE,"['committee', 'achieve', 'employment', 'inflation', NOT 'longer', 'run', 'support', 'goals', 'decide', 'target', 'range', 'federal', 'funds', 'rate', 'percent']"
no_pullbacks,No pullbacks in inflation! The #Fed ALWAYS plunge protects the major stock indices until proven otherwise. Buy every dip as long as it keeps working.,,https://pbs.twimg.com/profile_images/1241574223996428289/sDr6oME8_normal.jpg,,2001,8697,153227,2009-10-11 18:22:32,1499452854687391744,2022-03-03 18:33:13,0,6,['https://t.co/nILOQJ13ss'],,,Watch what #Powell actually does.  Not what he says.  So far they have done nothing significant.  #Fed #Inflation #FOMC #FederalReserve https://t.co/nILOQJ13ss,Watch what Powell actually does. Not what he says. So far they have done nothing significant. Fed Inflation FOMC FederalReserve,NEGATIVE,"[NOT 'significant', 'inflation']"
no_pullbacks,No pullbacks in inflation! The #Fed ALWAYS plunge protects the major stock indices until proven otherwise. Buy every dip as long as it keeps working.,,https://pbs.twimg.com/profile_images/1241574223996428289/sDr6oME8_normal.jpg,,2001,8697,153227,2009-10-11 18:22:32,1499451996348239876,2022-03-03 18:29:49,0,5,['https://t.co/hcWmMhqXhk'],,,Nonsense!  They’re still not using tools NOW after it ALREADY got severe!    #Fed #Inflation #Powell #FOMC #FederalReserve https://t.co/hcWmMhqXhk,Nonsense! Theyre still not using tools NOW after it ALREADY got severe! Fed Inflation Powell FOMC FederalReserve,NEGATIVE,"['nonsense', 'tool', 'severe', 'inflation']"
Continuum3000,Using Data Science to bring trust in the Blockchain space. Promoting brands we consider Good Blockchain.,https://t.co/AtriJlrg0w,https://pbs.twimg.com/profile_images/1455544371118551044/vUQLlI8a_normal.png,,207,1132,1770,2021-01-22 10:57:55,1499451280607137803,2022-03-03 18:26:58,0,0,,,,"He repeated comments that he made before the House Financial Services Committee on Wednesday, noting uncertainty due to the invasion of Ukraine but insisting that inflation needed to be contained,and that the FOMC will act cautiously and be nimble in reducing policy accommodation","He repeated comments that he made before the House Financial Services Committee on Wednesday, noting uncertainty due to the invasion of Ukraine but insisting that inflation needed to be contained,and that the FOMC will act cautiously and be nimble in reducing policy accommodation",POSITIVE,"['house', 'accommodation', 'repeated', 'comment', 'committee', NOT 'uncertainty', 'invasion', 'insist', 'inflation', 'needed', 'contained', 'act', 'cautiously', 'nimbly', 'reducing', 'policy']"
Boutonski,"Media, Fintech Junkie.. Communications Partner; @BusinessWire - a Berkshire Hathaway co • Views Mine",https://t.co/Ac7J8SLfGX,https://pbs.twimg.com/profile_images/1456294807068987399/_oJGev7e_normal.jpg,,10911,10361,25242,2009-08-13 19:29:22,1499418780954464267,2022-03-03 16:17:49,0,1,['https://t.co/TjB8Sd2QIY'],,,"U.S. Central Bank signals March rate bump #Centalbanks #FOMC #Federalreserve #inflation $USD #markets 

https://t.co/TjB8Sd2QIY",U.S. Central Bank signals March rate bump Centalbanks FOMC Federalreserve inflation $USD markets,NEGATIVE,"['rate', 'bump', 'inflation']"
osyan27589214,"FX ,NASDAQ trader",,https://pbs.twimg.com/profile_images/1495808293838721024/Ov82vdYR_normal.jpg,,995,40,540,2019-09-23 18:34:36,1499416734549348353,2022-03-03 16:09:41,1,0,,,,"Fed Chair Powell reiterates he will support 25bps rate hike in March; reiterates that the FOMC is prepared to raise more than that in a meeting or meetings if inflation does not come down.

#Forex #forextrading #fx #Fed",Fed Chair Powell reiterates he will support 25bps rate hike in March; reiterates that the FOMC is prepared to raise more than that in a meeting or meetings if inflation does not come down. Forex forextrading fx Fed,POSITIVE,"['reiterate', 'support', 'rate', 'hike']"
